Id,Predicted
0,decreasevolume
1,decreaseheat
2,increasevolume
3,decreasevolume
4,decreasevolume
5,decreaseheat
6,decreaseheat
7,deactivatelights
8,decreaseheat
9,increaseheat
10,decreaseheat
11,increasevolume
12,increasevolume
13,deactivatelights
14,decreaseheat
15,increasevolume
16,increasevolume
17,increasevolume
18,increasevolume
19,increasevolume
20,increasevolume
21,increasevolume
22,decreasevolume
23,decreasevolume
24,increasevolume
25,increaseheat
26,increasevolume
27,increasevolume
28,decreasevolume
29,increaseheat
30,change languagenone
31,decreasevolume
32,decreasevolume
33,increasevolume
34,decreasevolume
35,decreasevolume
36,increasevolume
37,decreasevolume
38,decreasevolume
39,increaseheat
40,increasevolume
41,decreaseheat
42,increasevolume
43,decreaseheat
44,change languagenone
45,increasevolume
46,increasevolume
47,increasevolume
48,decreasevolume
49,increasevolume
50,increasevolume
51,decreasevolume
52,increasevolume
53,increasevolume
54,increaseheat
55,increaseheat
56,increasevolume
57,increaseheat
58,increaseheat
59,decreasevolume
60,deactivatelights
61,increasevolume
62,change languagenone
63,increasevolume
64,decreasevolume
65,increasevolume
66,decreaseheat
67,decreasevolume
68,increaseheat
69,decreaseheat
70,increasevolume
71,decreaseheat
72,decreaseheat
73,decreasevolume
74,increaseheat
75,decreaseheat
76,change languagenone
77,increaseheat
78,decreaseheat
79,decreasevolume
80,increasevolume
81,decreasevolume
82,decreasevolume
83,decreasevolume
84,decreasevolume
85,increasevolume
86,decreasevolume
87,decreasevolume
88,decreaseheat
89,increasevolume
90,decreaseheat
91,change languagenone
92,increasevolume
93,increasevolume
94,increaseheat
95,increasevolume
96,increaseheat
97,decreasevolume
98,increaseheat
99,increasevolume
100,increasevolume
101,decreasevolume
102,decreasevolume
103,decreasevolume
104,increasevolume
105,increaseheat
106,increasevolume
107,change languagenone
108,decreaseheat
109,decreasevolume
110,decreaseheat
111,increaseheat
112,change languagenone
113,increasevolume
114,decreaseheat
115,increasevolume
116,increasevolume
117,increasevolume
118,decreaseheat
119,increasevolume
120,increaseheat
121,decreasevolume
122,decreasevolume
123,decreasevolume
124,increasevolume
125,change languagenone
126,increasevolume
127,change languagenone
128,increasevolume
129,increasevolume
130,decreaseheat
131,increaseheat
132,increasevolume
133,increasevolume
134,change languagenone
135,increasevolume
136,increaseheat
137,increasevolume
138,decreaseheat
139,decreasevolume
140,change languagenone
141,decreaseheat
142,decreasevolume
143,increasevolume
144,decreaseheat
145,increasevolume
146,decreaseheat
147,increasevolume
148,increasevolume
149,decreasevolume
150,increasevolume
151,increasevolume
152,increaseheat
153,decreaseheat
154,increasevolume
155,increaseheat
156,decreaseheat
157,decreasevolume
158,increasevolume
159,decreasevolume
160,increaseheat
161,change languagenone
162,change languagenone
163,decreaseheat
164,change languagenone
165,decreasevolume
166,change languagenone
167,decreaseheat
168,decreaseheat
169,increaseheat
170,decreasevolume
171,decreasevolume
172,decreasevolume
173,decreaseheat
174,decreasevolume
175,increasevolume
176,increasevolume
177,decreasevolume
178,increasevolume
179,increasevolume
180,decreasevolume
181,change languagenone
182,decreaseheat
183,decreasevolume
184,increaseheat
185,increasevolume
186,increasevolume
187,decreaseheat
188,decreasevolume
189,increasevolume
190,change languagenone
191,increasevolume
192,change languagenone
193,decreasevolume
194,decreaseheat
195,decreasevolume
196,increasevolume
197,decreasevolume
198,increaseheat
